ID,Species,Family,bt.family,Figures
usnm_010031_Platichthys_flesus_radiograph_1,Platichthys_flesus,Pleuronectidae,Pleuronectidae,P. fle
usnm_010031_Platichthys_flesus_radiograph_2,Platichthys_flesus,Pleuronectidae,Pleuronectidae,P. fle
usnm_010031_Platichthys_flesus_radiograph_3,Platichthys_flesus,Pleuronectidae,Pleuronectidae,P. fle
usnm_015091_Trinectes_maculatus_radiograph,Trinectes_maculatus,Achiridae,Achiridae,T. mac
usnm_022996_Scophthalmus_maximus_radiograph,Scophthalmus_maximus,Scophthalmidae1,Scophthalmidae,S. max
usnm_025963_Scophthalmus_maximus_radiograph_1,Scophthalmus_maximus,Scophthalmidae1,Scophthalmidae,S. max
usnm_025963_Scophthalmus_maximus_radiograph_2,Scophthalmus_maximus,Scophthalmidae1,Scophthalmidae,S. max
usnm_00027499_Eopsetta_jordani_radiograph,Eopsetta_jordani,Pleuronectidae,Pleuronectidae,E. jor
usnm_029928_Liopsetta_glacialis_radiograph,Liopsetta_glacialis,Pleuronectidae,Pleuronectidae,L. gla
usnm_034837_Trinectes_maculatus_radiograph,Trinectes_maculatus,Achiridae,Achiridae,T. mac
usnm_034837_Trinectes_maculatus_radiograph_1,Trinectes_maculatus,Achiridae,Achiridae,T. mac
usnm_036894_Psettichthys_melanostictus_radiograph,Psettichthys_melanostictus,Pleuronectidae,Pleuronectidae,P. mel
usnm_036896_Psettodes_erumei_radiograph,Psettodes_erumei,Psettodiae,Psettodiae,P. eru
usnm_038018_Symphurus_atricaudus_radiograph_1,Symphurus_atricaudus,Cynoglossidae,Cynoglossidae,S. atr
usnm_038018_Symphurus_atricaudus_radiograph_2,Symphurus_atricaudus,Cynoglossidae,Cynoglossidae,S. atr
usnm_038018_Symphurus_atricaudus_radiograph_3,Symphurus_atricaudus,Cynoglossidae,Cynoglossidae,S. atr
usnm_039743_Hippoglossus_hippoglossus_radiograph,Hippoglossus_hippoglossus,Pleuronectidae,Pleuronectidae,H. hip
usnm_041906_Xystreurys_liolepis_radiograph,Xystreurys_liolepis,Paralichthyidae2,Paralichthyidae,X. lio
usnm_046317_Xystreurys_liolepis_radiograph,Xystreurys_liolepis,Paralichthyidae2,Paralichthyidae,X. lio
usnm_046411_Microstomus_pacificus_radiograph,Microstomus_pacificus,Pleuronectidae,Pleuronectidae,M. pac
usnm_046411_Microstomus_pacificus_radiograph_1,Microstomus_pacificus,Pleuronectidae,Pleuronectidae,M. pac
usnm_00046429_Eopsetta_jordani_radiograph,Eopsetta_jordani,Pleuronectidae,Pleuronectidae,E. jor
usnm_46435_Parophrys_vetulus_radiograph_1,Parophrys_vetulus,Pleuronectidae,Pleuronectidae,P. vet
usnm_46435_Parophrys_vetulus_radiograph_2,Parophrys_vetulus,Pleuronectidae,Pleuronectidae,P. vet
usnm_46435_Parophrys_vetulus_radiograph_3,Parophrys_vetulus,Pleuronectidae,Pleuronectidae,P. vet
usnm_048630_Liopsetta_glacialis_radiograph,Liopsetta_glacialis,Pleuronectidae,Pleuronectidae,L. gla
usnm_048630_Liopsetta_glacialis_radiograph_1,Liopsetta_glacialis,Pleuronectidae,Pleuronectidae,L. gla
usnm_048972_Pseudopleuronectes_americanus_radiograph,Pseudopleuronectes_americanus,Pleuronectidae,Pleuronectidae,P. ame
usnm_048972_Pseudopleuronectes_americanus_radiograph_1,Pseudopleuronectes_americanus,Pleuronectidae,Pleuronectidae,P. ame
usnm_048972_Pseudopleuronectes_americanus_radiograph_2,Pseudopleuronectes_americanus,Pleuronectidae,Pleuronectidae,P. ame
usnm_049456_Verasper_moseri_radiograph_1,Verasper_moseri,Pleuronectidae,Pleuronectidae,V. mos
usnm_049456_Verasper_moseri_radiograph_2,Verasper_moseri,Pleuronectidae,Pleuronectidae,V. mos
usnm_049456_Verasper_moseri_radiograph_3,Verasper_moseri,Pleuronectidae,Pleuronectidae,V. mos
usnm_054037_Isopsetta_isolepis_radiograph_2 copy,Isopsetta_isolepis,Pleuronectidae,Pleuronectidae,I. iso
usnm_054037_Isopsetta_isolepis_radiograph_3 copy,Isopsetta_isolepis,Pleuronectidae,Pleuronectidae,I. iso
usnm_054300_Hippoglossus_hippoglossus_radiograph copy,Hippoglossus_hippoglossus,Pleuronectidae,Pleuronectidae,H. hip
usnm_054485_Platichthys_stellatus_radiograph_1 copy,Platichthys_stellatus,Pleuronectidae,Pleuronectidae,P. ste
usnm_054485_Platichthys_stellatus_radiograph_2,Platichthys_stellatus,Pleuronectidae,Pleuronectidae,P. ste
usnm_054485_Platichthys_stellatus_radiograph_3,Platichthys_stellatus,Pleuronectidae,Pleuronectidae,P. ste
usnm_054775_Paralichthys_californicus_radiograph_1,Paralichthys_californicus,Paralichthyidae2,Paralichthyidae,P. cal
usnm_054775_Paralichthys_californicus_radiograph_2,Paralichthys_californicus,Paralichthyidae2,Paralichthyidae,P. cal
usnm_054775_Paralichthys_californicus_radiograph_3,Paralichthys_californicus,Paralichthyidae2,Paralichthyidae,P. cal
usnm_055256_Pelecanichthys_crumenalis_radiograph_2,Pelecanichthys_crumenalis,Bothidae,Bothidae,P. cru
usnm_055256_Pelecanichthys_crumenalis_radiograph_5,Pelecanichthys_crumenalis,Bothidae,Bothidae,P. cru
usnm_055256_Pelecanichthys_crumenalis_radiograph_6,Pelecanichthys_crumenalis,Bothidae,Bothidae,P. cru
usnm_55583_Catathyridium_jenynsii_radiograph,Catathyridium_jenynsii,Achiridae,Achiridae,C. jen
usnm_55583_Catathyridium_jenynsii_radiograph_1,Catathyridium_jenynsii,Achiridae,Achiridae,C. jen
usnm_056373_Kareius_bicoloratus_radiograph,Kareius_bicoloratus,Pleuronectidae,Pleuronectidae,K. bic
usnm_056384_Engyprosopon_grandisquama_radiograph_1,Engyprosopon_grandisquama,Bothidae,Bothidae,E. gra
usnm_056384_Engyprosopon_grandisquama_radiograph_2,Engyprosopon_grandisquama,Bothidae,Bothidae,E. gra
usnm_056384_Engyprosopon_grandisquama_radiograph_3,Engyprosopon_grandisquama,Bothidae,Bothidae,E. gra
usnm_060632_Lyopsetta_exilis_radiograph,Lyopsetta_exilis,Pleuronectidae,Pleuronectidae,L. exi
usnm_00060659_Hippoglossoides_elassodon_radiograph,Hippoglossoides_elassodon,Pleuronectidae,Pleuronectidae,H. ela
usnm_00060659_Hippoglossoides_elassodon_radiograph_1,Hippoglossoides_elassodon,Pleuronectidae,Pleuronectidae,H. ela
usnm_00060659_Hippoglossoides_elassodon_radiograph_2,Hippoglossoides_elassodon,Pleuronectidae,Pleuronectidae,H. ela
usnm_063562_Lyopsetta_exilis_radiograph_1,Lyopsetta_exilis,Pleuronectidae,Pleuronectidae,L. exi
usnm_063562_Lyopsetta_exilis_radiograph_2,Lyopsetta_exilis,Pleuronectidae,Pleuronectidae,L. exi
usnm_063562_Lyopsetta_exilis_radiograph_3,Lyopsetta_exilis,Pleuronectidae,Pleuronectidae,L. exi
usnm_63573_Microsromus_pacificus_radiograph,Microstomus_pacificus,Pleuronectidae,Pleuronectidae,M. pac
usnm_067275_Psettichthys_melanostictus_radiograph,Psettichthys_melanostictus,Pleuronectidae,Pleuronectidae,P. mel
usnm_071464_Aseraggodes_kobensis_radiograph_1,Aseraggodes_kobensis,Soleidae,Soleidae,A. kob
usnm_071464_Aseraggodes_kobensis_radiograph_2,Aseraggodes_kobensis,Soleidae,Soleidae,A. kob
usnm_071464_Aseraggodes_kobensis_radiograph_3,Aseraggodes_kobensis,Soleidae,Soleidae,A. kob
usnm_071465_Pseudorhombus_pentophthalmus_radiograph_1,Pseudorhombus_pentophthalmus,Paralichthyidae2,Paralichthyidae,P. pen
usnm_071465_Pseudorhombus_pentophthalmus_radiograph_2,Pseudorhombus_pentophthalmus,Paralichthyidae2,Paralichthyidae,P. pen
