	family	species	depthzone	climate	meantemp	watertype	ocean	fooditems	invert.vert	trophiclevel	sediment	reef-assoc	continentalshelf	river
Achirus_declivis	Achiridae	Achirus declivis	NA	Tropical	27.3	marine.brack	Atlantic	crust.poly.fish	invert.vert	3.3	NA	no	no	no
Achirus_lineatus	Achiridae	Achirus lineatus	sublittoral	Tropical	27.2	marine.brack	Atlantic	crust.poly.fish	invert.vert	3.5	mud.sand	yes	no	no
Ammotretis_rostratus	Rhombosoleidae	Ammotretis rostratus	sublittoral	Temperate	17.7	marine.brack	Indian	NA	invert	3.1	NA	no	no	no
Apionichthys_dumerili	Achiridae	Apionichthys dumerili	NA	Tropical	27.5	marine.brack.fresh	Atlantic	NA	NA	3.3	mud.sand	no	no	no
Arnoglossus_imperialis	Bothidae	Arnoglossus imperialis	sublittoral	Subtropical	11.7	marine	Atlantic	crust.fish	invert.vert	3.8	mud.sand	no	no	no
Arnoglossus_laterna	Bothidae	Arnoglossus laterna	sublittoral	Subtropical	10.8	marine	Atlantic	crust.poly.fish	invert.vert	3.6	mud	no	no	no
Aseraggodes_kobensis	Soleidae	Aseraggodes kobensis	sublittoral	Temperate	18.2	marine	Pacific	NA	NA	3.5	mud.sand	no	no	no
Atheresthes_stomias	Pleuronectidae	Atheresthes stomias	bathyal	Polar	4.6	marine	Pacific	crust.poly.fish	invert.vert	4.3	mud	no	no	no
Bothus_lunatus	Bothidae	Bothus lunatus	sublittoral	Tropical	27.3	marine	Indian	crust.fish	invert.vert	4.5	sand.rock	yes	no	no
Bothus_myriaster	Bothidae	Bothus myriaster	sublittoral	Tropical	27.1	marine	IndoWest	NA	NA	3.5	mud.sand	no	yes	no
Bothus_podas	Bothidae	Bothus podas	bathyal	Subtropical	15.1	marine	Atlantic	crust.poly.fish	invert.vert	3.4	mud.sand.rock	no	no	no
Bothus_robinsi	Bothidae	Bothus robinsi	sublittoral	Tropical	25.4	marine	Atlantic	crust.poly.fish	invert.vert	3.7	mud.sand	no	yes	no
Catathyridium_jenynsii	Achiridae	Catathyridium jenynsii	NA	Subtropical	NA	NA	NA	NA	NA	3.3	NA	no	no	yes
Chascanopsetta_lugubris	Bothidae	Chascanopsetta lugubris	NA	NA	5.7	marine	Atlantic.IndoWest	crust	invert	3.5	mud.sand	no	yes	no
Citharichthys_arctifrons	Paralichthyidae	Citharichthys arctifrons	bathyal	Subtropical	7.6	marine	Atlantic	crust.poly	invert	3.3	NA	no	no	no
Citharichthys_gilberti	Paralichthyidae	Citharichthys gilberti	sublittoral	Tropical	25.9	marine.brack.fresh	Pacific	fish	invert.vert	4.1	mud.sand	no	no	no
Citharichthys_macrops	Paralichthyidae	Citharichthys macrops	sublittoral	Subtropical	26.5	marine	Atlantic	NA	NA	3.5	sand.rock	yes	no	no
Citharichthys_sordidus	Paralichthyidae	Citharichthys sordidus	bathyal	Temperate	10.3	marine	Atlantic.Pacific	crust.poly.fish	invert.vert	3.5	sand	no	no	no
Citharichthys_stigmaeus	Paralichthyidae	Citharichthys stigmaeus	sublittoral	Subtropical	8.9	marine	Pacific	crust.poly.fish	invert.vert	3.4	sand	no	no	no
Citharoides_macrolepis	Citharidae	Citharoides macrolepis	sublittoral	NA	14.8	marine	Indian	NA	NA	3.7	mud.sand	no	no	no
Citharus_linguatula	Citharidae	Citharus linguatula	bathyal	Subtropical	15.2	marine	Atlantic	crust.fish	invert.vert	4	mud.sand	no	no	no
Cleisthenes_herzensteini	Pleuronectidae	Cleisthenes herzensteini	NA	Temperate	10.6	marine	Pacific	crust	invert	3.4	NA	no	no	no
Cleisthenes_pinetorum	Pleuronectidae	Cleisthenes pinetorum	sublittoral	Temperate	17.2	marine	Pacific	NA	NA	3.4	mud.sand	no	no	no
Crossorhombus_azureus	Bothidae	Crossorhombus azureus	sublittoral	Tropical	27.2	marine	IndoWest	NA	NA	3.5	mud	no	yes	no
Cyclopsetta_chittendeni	Paralichthyidae	Cyclopsetta chittendeni	sublittoral	Subtropical	24.8	marine	Atlantic	crust.fish	invert.vert	3.6	mud	no	no	no
Cynoglossus_arel	Cynoglossidae	Cynoglossus arel	sublittoral	Tropical	27.7	marine.brack	IndoWest	NA	invert	3.5	mud.sand	no	yes	no
Cynoglossus_interruptus	Cynoglossidae	Cynoglossus interruptus	sublittoral	Tropical	19.3	marine	Pacific	NA	NA	3.3	mud.sand	no	no	no
Dicologlossa_hexophthalma	Soleidae	Dicologlossa hexophthalma	sublittoral	Subtropical	25.7	marine	NA	NA	NA	3.4	NA	no	no	no
Embassichthys_bathybius	Pleuronectidae	Embassichthys bathybius	bathyal	NA	3.1	marine	Pacific	NA	NA	3.4	mud	no	no	no
Engyprosopon_grandisquama	Bothidae	Engyprosopon grandisquama	sublittoral	Tropical	26.8	marine	IndoWest	crust.poly.fish	invert.vert	3.1	mud.sand	yes	no	no
Eopsetta_grigorjewi	Pleuronectidae	Eopsetta grigorjewi	bathyal	Subtropical	8.8	marine	Pacific	NA	NA	3.5	mud.sand	no	no	no
Eopsetta_jordani	Pleuronectidae	Eopsetta jordani	bathyal	Temperate	5	marine	Pacific	crust.fish	invert.vert	4.1	sand	no	no	no
Etropus_crossotus	Paralichthyidae	Etropus crossotus	sublittoral	Subtropical	25.7	marine.brack	Atlantic	crust.poly	invert	3.5	mud.sand	no	no	no
Etropus_microstomus	Paralichthyidae	Etropus microstomus	sublittoral	Subtropical	24.1	marine	Atlantic	NA	NA	3.4	NA	no	no	no
Glyptocephalus_cynoglossus	Pleuronectidae	Glyptocephalus cynoglossus	bathyal	Temperate	7	marine	Atlantic	crust.poly.ech.fish	invert.vert	3.2	mud	no	no	no
Glyptocephalus_zachirus	Pleuronectidae	Glyptocephalus zachirus	bathyal	Temperate	3.7	marine	Pacific	crust.poly.fish	invert.vert	3.3	mud.sand	no	no	no
Grammatobothus_polyophthalmus	Bothidae	Grammatobothus polyophthalmus	sublittoral	Tropical	28	marine	IndoWest	crust.fish	invert.vert	3.6	mud.sand	no	yes	no
Gymnachirus_melas	Achiridae	Gymnachirus melas	sublittoral	Subtropical	24.1	marine	Atlantic	crust.poly	invert	3.4	NA	no	no	no
