Original	Family	bt.family	Figure
Acanthopsetta_nadeshnyi	Pleuronectidae	Pleuronectidae	A. nad
Achiroides_melanorhynchus	Soleidae	Soleidae	A. mel
Achirus_declivis	Achiridae	Achiridae	A. dec
Achirus_lineatus	Achiridae	Achiridae	A. lin
Achirus_mazatlanus	Achiridae	Achiridae	A. maz
Amate_japonica	Soleidae	Soleidae	A. jap
Ammotretis_rostratus	Rhombosoleidae	Rhombosoleidae	A. ros
Ancylopsetta_cycloidea	Paralichthyidae_1	Paralichthyidae	A. cyc
Ancylopsetta_dilecta	Paralichthyidae_1	Paralichthyidae	A. dil
Ancylopsetta_ommata	Paralichthyidae_1	Paralichthyidae	A. omm
Apionichthys_dumerili	Achiridae	Achiridae	A. dum
Arelia_bilineata	Cynoglossidae	Cynoglossidae	A. bil
Arnoglossus_imperialis	Bothidae	Bothidae	A. imp
Arnoglossus_laterna	Bothidae	Bothidae	A. lat
Aseraggodes_cyaneus	Soleidae	Soleidae	A. cya
Aseraggodes_kobensis	Soleidae	Soleidae	A. kob
Asterorhombus_cocosensis	Bothidae	Bothidae	A. coc
Atheresthes_stomias	Pleuronectidae	Pleuronectidae	A. sto
Azevia_panamensis	Paralichthyidae_1	Paralichthyidae	A. pan
Bathysolea_polli	Soleidae	Soleidae	B. pol
Bothus_myriaster	Bothidae	Bothidae	B. myr
Bothus_lunatus	Bothidae	Bothidae	B. lun
Bothus_podas	Bothidae	Bothidae	B. pod
Bothus_robinsi	Bothidae	Bothidae	B. rob
Brachirus_aenea	Soleidae	Soleidae	B. aen
Brachirus_aspilos	Soleidae	Soleidae	B. asp
Brachypleura_novaezeelandiae	Citharidae	Citharidae	B. nov
Catathyridium_jenynsii	Achiridae	Achiridae	C. jen
Chascanopsetta_lugubris	Bothidae	Bothidae	C. lug
Citharichthys_arctifrons	Paralichthyidae_1	Paralichthyidae	C. arc
Citharichthys_gilberti	Paralichthyidae_1	Paralichthyidae	C. gil
Citharichthys_macrops	Paralichthyidae_1	Paralichthyidae	C. macrops
Citharichthys_sordidus	Paralichthyidae_1	Paralichthyidae	C. sor
Citharichthys_stigmaeus	Paralichthyidae_1	Paralichthyidae	C. sti
Citharoides_macrolepis	Citharidae	Citharidae	C. macrolepis
Citharus_linguatula	Citharidae	Citharidae	C. lin
Cleisthenes_herzensteini	Pleuronectidae	Pleuronectidae	C. her
Cleisthenes_pinetorum	Pleuronectidae	Pleuronectidae	C. pin
Crossorhombus_azureus	Bothidae	Bothidae	C. azu
Cyclopsetta_chittendeni	Paralichthyidae_1	Paralichthyidae	C. chi
Cynoglossus_interruptus	Cynoglossidae	Cynoglossidae	C. int
Cynoglossus_arel	Cynoglossidae	Cynoglossidae	C. are
Dicologlossa_hexophthalma	Soleidae	Soleidae	D. hex
Hippoglossoides_platessoides	Pleuronectidae	Pleuronectidae	H. pla
Embassichthys_bathybius	Pleuronectidae	Pleuronectidae	E. bat
Engyophrys_sanctilaurentii	Bothidae	Bothidae	E. san
Engyprosopon_grandisquama	Bothidae	Bothidae	E. gra
Eopsetta_grigorjewi	Pleuronectidae	Pleuronectidae	E. gri
Eopsetta_jordani	Pleuronectidae	Pleuronectidae	E. jor
Etropus_crossotus	Paralichthyidae_1	Paralichthyidae	E. cro
Etropus_microstomus	Paralichthyidae_1	Paralichthyidae	E. mic
Euryglossa_orientalis	Soleidae	Soleidae	E. ori
Euryglossa_sorsogonensis	Soleidae	Soleidae	E. sor
Gastropsetta_frontalis	Paralichthyidae_1	Paralichthyidae	G. fro
Glyptocephalus_cynoglossus	Pleuronectidae	Pleuronectidae	G. cyn
Glyptocephalus_zachirus	Pleuronectidae	Pleuronectidae	G. zac
Grammatobothus_polyophthalmus	Bothidae	Bothidae	G. pol
Gymnachirus_melas	Achiridae	Achiridae	G. mel
Gymnachirus_texae	Achiridae	Achiridae	G. tex
Hippoglossina_bollmani	Paralichthyidae_1	Paralichthyidae	H. bol
Hippoglossoides_dubius	Pleuronectidae	Pleuronectidae	H. dub
Hippoglossoides_elassodon	Pleuronectidae	Pleuronectidae	H. ela
Hippoglossus_hippoglossus	Pleuronectidae	Pleuronectidae	H. hip
Hypoclinemus_mentalis	Achiridae	Achiridae	H. men
Hypsopsetta_guttulata	Pleuronectidae	Pleuronectidae	H. gut
Isopsetta_isolepis	Pleuronectidae	Pleuronectidae	I. iso
Kareius_bicoloratus	Pleuronectidae	Pleuronectidae	K. bic
Laeops_kitaharae	Bothidae	Bothidae	L. kit
Laeops_nigromaculatus	Bothidae	Bothidae	L. nig
Lepidoblepharon_ophthalmolepis	Citharidae	Citharidae	L. oph
Lepidopsetta_bilineata	Pleuronectidae	Pleuronectidae	L. bil
Lepidorhombus_boscii	Scophthalmidae_1	Scophthalmidae	L. bos
Pleuronectes_platessa	Pleuronectidae	Pleuronectidae	P. pla
Liachirus_melanospilus	Soleidae	Soleidae	L. mel
Pseudopleuronectes_herzensteini	Pleuronectidae	Pleuronectidae	Ps. her
Limanda_limanda	Pleuronectidae	Pleuronectidae	L. lim
